                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3179,                 3.7301,                 2.9292,                 1.6169,                0.00528,                  0.532,                0.04712,                0.01478,                0.00405,                  0.408,                0.02078,                0.00673,                 2.0695,                 5.1539,                 4.7049,                   2.25,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.3402,                 3.2613,                 2.7675,                 1.5741,                0.00552,                  0.556,                0.09751,                0.04052,                0.00409,                  0.412,                0.06567,                0.03074,                 2.1282,                 4.9962,                 4.6466,                 2.3303,             0.00021927,             0.00021927,             0.00021927
                      3,                 1.2878,                 3.3143,                 2.5426,                 1.4893,                0.00552,                  0.556,                0.10147,                0.05148,                0.00456,                   0.46,                0.08942,                0.04113,                 2.2212,                 4.9381,                 4.7192,                 2.3768,             0.00033776,             0.00033776,             0.00033776
                      4,                 1.1701,                 2.7218,                  2.305,                 1.4523,                0.00567,                  0.572,                0.08691,                0.04194,                0.00444,                  0.448,                0.06814,                0.02711,                 2.1398,                 4.7048,                 4.6555,                 2.3645,             0.00045545,             0.00045545,             0.00045545
                      5,                 1.2986,                 3.0133,                  2.382,                 1.5304,                0.00595,                    0.6,                0.07167,                0.02812,                0.00444,                  0.448,                0.04963,                0.01726,                 2.1766,                 4.6654,                  4.668,                 2.3856,             0.00057234,             0.00057234,             0.00057234
                      6,                  1.268,                 2.8573,                 2.3937,                 1.5324,                0.24911,                   0.06,                0.06358,                0.02762,                0.18268,                  0.044,                0.04001,                0.01583,                 2.0513,                 4.8903,                 4.6574,                 2.3072,             0.00068845,             0.00068845,             0.00068845
                      7,                 1.2656,                 2.9605,                 2.2494,                 1.4663,                 0.1892,                  0.068,                0.04649,                0.01669,                0.09637,                  0.036,                0.01771,                0.00655,                  2.212,                 6.0007,                 5.0123,                 2.5787,             0.00080376,             0.00080376,             0.00080376
                      8,                  1.349,                 2.8074,                 2.0574,                 1.5271,                0.08713,                  0.136,                0.04786,                0.01931,                0.05804,                0.04905,                0.01846,                0.00883,                 2.2466,                  7.341,                 5.2483,                 2.6167,             0.00091829,             0.00091829,             0.00091829
                      9,                 1.2862,                 2.7839,                 2.1607,                 1.4537,                 0.1342,                  0.144,                0.07538,                0.03734,                0.11248,                  0.112,                0.06025,                0.02438,                 2.1551,                 7.4317,                 4.2641,                 2.5539,               0.001032,               0.001032,               0.001032
                     10,                 1.2729,                 2.7733,                 2.1922,                 1.4818,                0.22108,                  0.148,                0.10942,                0.05383,                0.20591,                0.12551,                0.08805,                0.03874,                  2.118,                 5.7635,                 4.1299,                 2.3462,               0.001145,               0.001145,               0.001145
                     11,                 1.2943,                 2.7265,                 2.2368,                 1.4054,                   0.12,                   0.14,                0.06383,                0.02504,                0.10899,                  0.148,                0.04623,                0.01406,                 2.1606,                 4.8315,                 4.5577,                 2.3567,              0.0012571,              0.0012571,              0.0012571
                     12,                 1.4571,                 3.0284,                 2.2868,                 1.5782,                0.12729,                  0.128,                0.06317,                0.02155,                0.09149,                  0.092,                0.03226,                0.00874,                  2.264,                 4.9088,                 4.8671,                  2.514,              0.0013685,              0.0013685,              0.0013685
                     13,                 1.3511,                 2.8984,                 2.1724,                 1.5026,                0.18303,                  0.128,                0.07884,                 0.0259,                0.12767,                  0.088,                0.04487,                0.01337,                 2.2445,                 4.6866,                 4.6061,                 2.4453,               0.001479,               0.001479,               0.001479
                     14,                 1.2461,                 2.6822,                  2.036,                 1.4935,                0.13902,                  0.204,                0.08712,                0.03977,                0.15963,                  0.132,                0.06439,                 0.0194,                 2.0934,                  5.207,                 5.9354,                 2.3154,              0.0015888,              0.0015888,              0.0015888
                     15,                 1.3154,                 2.7278,                 2.0263,                 1.5225,                0.34545,                  0.128,                0.13669,                0.05357,                0.30811,                  0.108,                0.09946,                0.03283,                  2.058,                 5.3674,                 6.0888,                 2.3037,              0.0016978,              0.0016978,              0.0016978
                     16,                 1.3764,                 2.7587,                 2.0548,                 1.5331,                0.18169,                    0.2,                0.07833,                0.02576,                0.12795,                  0.144,                 0.0483,                0.01592,                 2.3197,                 5.4847,                 6.4018,                 2.5941,               0.001806,               0.001806,               0.001806
                     17,                 1.4095,                 2.5352,                 2.0227,                  1.541,                0.09447,                  0.112,                0.03786,                0.01101,                0.17795,                  0.072,                0.02815,                0.00836,                 2.4011,                 5.4593,                   5.14,                 2.6256,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.4412,                 2.7333,                 2.0478,                 1.5471,                0.07555,                  0.108,                 0.0266,                0.00896,                0.09827,                  0.084,                0.02281,                0.00796,                 2.4084,                 5.7853,                 5.2526,                 2.6044,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.3262,                  2.445,                 1.9686,                 1.5232,                0.11798,                  0.156,                0.05201,                0.01582,                0.10116,                  0.128,                0.03214,                0.01096,                 2.3236,                 5.8265,                 5.1163,                 2.5038,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.4308,                 2.7473,                 2.1763,                 1.5606,                 0.1703,                  0.148,                0.07667,                0.02868,                0.09492,                  0.112,                0.03632,                0.01157,                 2.2595,                 7.3477,                 3.9213,                 2.3792,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.4394,                 2.7613,                 2.1218,                 1.6169,                0.15214,                   0.16,                0.07081,                0.02565,                0.16127,                  0.084,                0.03383,                0.01221,                 2.3091,                 8.3209,                 4.2413,                 2.3519,               0.001868,               0.001868,               0.001868
                     22,                   1.37,                 2.7286,                 2.0334,                 1.5054,                0.17245,                  0.152,                0.06173,                0.02494,                0.11031,                  0.096,                0.03556,                0.01078,                 2.4757,                 10.001,                 5.8655,                 2.6131,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.3523,                 2.6596,                 1.9599,                 1.5342,                0.13249,                  0.124,                0.04039,                0.01581,                0.08548,                   0.08,                0.01845,                0.00437,                 2.5057,                 8.6884,                 7.4315,                 2.6423,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.4215,                 2.6874,                 2.1341,                 1.5658,                0.07192,                    0.2,                0.02969,                0.01322,                 0.0659,                   0.14,                0.02067,                0.00628,                 2.2622,                 6.8258,                 11.357,                 2.3896,              0.0018482,              0.0018482,              0.0018482
                     25,                  1.313,                 2.6919,                 1.9796,                  1.469,                 0.1517,                  0.184,                0.05906,                0.02425,                0.11213,                  0.136,                0.03379,                 0.0125,                 2.2108,                 7.1213,                 7.9796,                 2.2803,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.3653,                 2.6507,                 2.0448,                 1.5447,                0.25941,                  0.188,                0.11708,                0.04865,                0.18162,                  0.132,                 0.0637,                0.02443,                 2.3125,                 7.3601,                 3.8947,                 2.3754,               0.001835,               0.001835,               0.001835
                     27,                 1.3027,                 2.6468,                 1.9132,                 1.4942,                0.27024,                  0.184,                0.11153,                0.04332,                0.18701,                  0.156,                0.06893,                0.02601,                 2.2415,                 6.1595,                 4.5797,                 2.2995,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.1638,                 2.5794,                 1.8462,                  1.413,                0.27838,                0.17438,                0.10948,                0.04341,                0.21439,                  0.152,                0.08345,                0.03236,                 2.2926,                 5.1262,                 4.3003,                 2.3018,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.2425,                 2.3665,                 1.8073,                 1.4076,                0.26074,                  0.216,                0.14141,                0.06126,                0.22797,                    0.2,                0.12866,                0.04745,                 2.2532,                 5.2021,                 3.9998,                 2.2948,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.3078,                  2.619,                  1.885,                 1.4379,                0.39819,                0.26731,                0.21718,                0.08983,                 0.3684,                0.24731,                0.18582,                 0.0594,                 2.0633,                  4.769,                 3.8238,                  2.315,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.2972,                 2.6119,                 1.6769,                 1.4892,                0.34718,                  0.244,                0.19963,                0.06963,                0.22908,                  0.292,                0.12652,                0.04314,                 2.1367,                 4.9799,                 4.3441,                 2.4186,               0.001802,               0.001802,               0.001802
                     32,                 1.2426,                 2.5304,                 1.7812,                 1.4902,                0.27761,                   0.26,                0.15401,                0.05336,                0.26167,                  0.248,                0.13947,                0.05007,                 2.1078,                  4.786,                 4.0674,                  2.248,              0.0017954,              0.0017954,              0.0017954
                     33,                  1.318,                 2.4532,                 1.7552,                 1.4587,                0.25096,                   0.26,                0.14731,                0.04687,                0.27999,                0.19444,                0.13751,                0.05018,                 2.1363,                 4.6094,                 4.0182,                  2.221,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.3337,                 2.5833,                 1.8434,                 1.4449,                0.25641,                  0.168,                  0.097,                0.03795,                 0.2897,                   0.18,                0.11411,                 0.0402,                 2.1054,                 5.4741,                 4.7669,                 2.2283,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.1442,                 2.3843,                 1.7947,                 1.4282,                0.22289,                  0.168,                0.09243,                0.03424,                 0.2054,                  0.156,                0.08433,                0.03404,                  2.157,                 6.3215,                 4.4458,                   2.24,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2513,                 2.4106,                 1.7332,                 1.4545,                0.38502,                  0.224,                0.19099,                0.07779,                0.24308,                0.25563,                0.15665,                0.06452,                 2.0422,                 6.0438,                 3.0802,                 2.0541,               0.001769,               0.001769,               0.001769
                     37,                 1.1949,                 2.3465,                 1.6737,                 1.3916,                0.36041,                  0.236,                0.18325,                0.08106,                0.39147,                  0.208,                0.17354,                0.07117,                 2.0678,                  5.598,                 2.8552,                 2.0738,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2971,                 2.4483,                 1.7509,                 1.4708,                0.22794,                  0.272,                 0.1308,                 0.0461,                0.17915,                    0.2,                0.09488,                0.03279,                 2.1968,                 5.9614,                 3.1428,                  2.161,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.2825,                 2.5578,                  1.743,                 1.4929,                0.29984,                  0.272,                0.17864,                0.06775,                0.21024,                  0.248,                0.12526,                0.04729,                  2.172,                 5.2704,                 2.8918,                 2.1556,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.2243,                 2.4908,                 1.7318,                 1.4586,                0.31507,                  0.348,                0.22513,                 0.0865,                0.30357,                   0.28,                0.17604,                0.06815,                  2.152,                 4.3046,                  2.756,                 2.0722,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.381,                 2.4214,                 1.8651,                 1.5496,                0.33104,                  0.248,                 0.2099,                0.07313,                0.28757,                  0.216,                0.16711,                 0.0636,                 2.1218,                 4.0909,                 2.7862,                 2.1119,               0.001736,               0.001736,               0.001736
                     42,                 1.1225,                 2.3386,                 1.6129,                 1.3817,                0.18309,                  0.168,                 0.0932,                0.03464,                0.19992,                  0.172,                0.09382,                0.03524,                 2.3348,                  4.813,                 3.5116,                 2.4256,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.2512,                   2.28,                 1.6368,                 1.4527,                0.29582,                  0.144,                0.11218,                0.04356,                0.29082,                0.15748,                 0.1076,                0.04141,                 2.3137,                 4.8975,                 3.3486,                 2.4533,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1934,                 2.2401,                 1.6995,                 1.3953,                0.32193,                  0.252,                0.18345,                0.08221,                0.30027,                   0.24,                0.16931,                0.07724,                 2.0556,                 4.1927,                 3.0514,                 2.1559,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1561,                 2.2972,                 1.5883,                 1.4002,                0.24888,                  0.208,                0.14661,                0.06686,                0.27227,                   0.22,                 0.1464,                0.06356,                 2.1087,                 4.1629,                   3.27,                 2.1902,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.1404,                 2.2631,                 1.5537,                 1.3372,                0.25294,                0.18419,                0.14514,                0.05296,                0.30582,                  0.196,                0.14539,                0.05294,                 2.3625,                 4.3725,                 3.1381,                 2.3545,               0.001703,               0.001703,               0.001703
                     47,                  1.112,                 2.1597,                 1.5124,                 1.3485,                  0.265,                  0.248,                0.16979,                0.06302,                0.32646,                0.21521,                0.16094,                0.06715,                 2.2921,                 4.1767,                 2.9524,                 2.2938,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.0904,                 2.0787,                 1.5512,                 1.3332,                0.33632,                  0.308,                0.21066,                0.08738,                0.31874,                  0.296,                0.20469,                0.09214,                 2.0811,                 4.2453,                 2.6299,                 2.0435,              0.0016898,              0.0016898,              0.0016898
