                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2978,                 3.7289,                 2.9779,                  1.527,                0.00524,                  0.528,                0.02906,                0.01063,                0.00385,                  0.388,                0.01529,                0.00507,                 2.0524,                 4.9609,                 4.7928,                 2.2417,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.2821,                 3.2679,                 2.7339,                  1.516,                0.00552,                  0.556,                0.05481,                0.02338,                0.00468,                  0.472,                0.03037,                0.01182,                  1.877,                 4.9178,                 4.6853,                 2.1337,             0.00021927,             0.00021927,             0.00021927
                      3,                 1.3837,                 3.4179,                 2.6312,                 1.5536,                0.00571,                  0.576,                0.05339,                0.01922,                0.00425,                  0.428,                 0.0383,                0.01426,                 2.1499,                 4.6231,                 4.5308,                 2.2837,             0.00033776,             0.00033776,             0.00033776
                      4,                 1.1965,                 3.0069,                 2.4913,                 1.4265,                0.00639,                  0.644,                0.05997,                0.02694,                0.00472,                  0.476,                0.04358,                0.01784,                 1.9545,                 4.2517,                 4.3248,                 2.1098,             0.00045545,             0.00045545,             0.00045545
                      5,                 1.1982,                 2.7268,                 2.2282,                 1.4418,                0.00615,                   0.62,                0.07592,                 0.0319,                 0.0048,                  0.484,                 0.0524,                0.02224,                 2.1253,                 4.5774,                 4.4406,                 2.2285,             0.00057234,             0.00057234,             0.00057234
                      6,                 1.2931,                 2.9804,                 2.3037,                 1.5592,                0.00567,                  0.572,                0.05286,                0.02134,                0.00429,                  0.432,                 0.0269,                0.00862,                 2.2461,                 4.5971,                  4.688,                 2.3697,             0.00068845,             0.00068845,             0.00068845
                      7,                 1.3466,                 2.8625,                 2.3936,                 1.5072,                0.00587,                  0.592,                 0.0517,                0.01783,                0.00461,                  0.432,                0.02641,                0.00738,                 2.2677,                  5.001,                 4.5215,                 2.4409,             0.00080376,             0.00080376,             0.00080376
                      8,                 1.3335,                 2.8253,                 2.2286,                 1.5256,                0.21656,                   0.04,                0.05084,                0.01879,                0.22155,                0.02507,                0.03965,                0.01192,                 2.4621,                 5.4173,                 4.8167,                 2.6531,             0.00091829,             0.00091829,             0.00091829
                      9,                 1.3112,                 2.8836,                 2.2354,                 1.4919,                0.21696,                  0.108,                0.07287,                0.02777,                0.16993,                  0.068,                0.05129,                0.01305,                  2.266,                 5.1372,                 4.7234,                 2.6003,               0.001032,               0.001032,               0.001032
                     10,                 1.3509,                 2.8621,                 2.1736,                 1.4935,                0.25965,                  0.156,                0.10315,                0.03115,                0.22102,                  0.116,                0.07055,                0.01843,                 2.3628,                 5.2172,                 4.9071,                 2.9505,               0.001145,               0.001145,               0.001145
                     11,                 1.3746,                 2.7294,                 2.1221,                 1.5551,                0.30914,                  0.156,                0.11004,                0.04135,                0.22183,                  0.132,                0.07571,                 0.0232,                  2.201,                 7.8145,                  5.473,                 2.6282,              0.0012571,              0.0012571,              0.0012571
                     12,                 1.4373,                 3.0573,                 2.2852,                 1.5402,                0.14379,                   0.22,                0.08118,                0.03164,                0.08791,                  0.064,                0.02065,                0.00885,                 2.4146,                 10.511,                 6.6389,                 3.0187,              0.0013685,              0.0013685,              0.0013685
                     13,                 1.4414,                  2.643,                 2.0761,                 1.5133,                0.19121,                  0.196,                0.10917,                0.04363,                0.15472,                  0.132,                0.07924,                0.02404,                 2.1533,                 7.2579,                 5.9848,                 2.5554,               0.001479,               0.001479,               0.001479
                     14,                 1.3622,                 2.9235,                 2.1197,                 1.4904,                0.10239,                  0.232,                 0.0742,                0.03373,                0.10057,                  0.132,                  0.054,                0.01812,                 2.1704,                 7.1405,                  9.754,                 2.5823,              0.0015888,              0.0015888,              0.0015888
                     15,                 1.4643,                 2.8312,                 2.2435,                 1.6307,                0.13472,                    0.2,                0.07998,                0.03372,                0.11241,                   0.16,                0.05563,                 0.0185,                 2.1822,                 6.3966,                 6.4277,                 2.5827,              0.0016978,              0.0016978,              0.0016978
